ocn1	eco	seq
C.RyL.Cls	C93	9
C.RyL.Cls	C94	10
C.RyL.Cls	C95	11
C.RyL.Cls	C96	12
C.RyL.Cls	C97	13
C.RyL.Cls	C98	14
C.RyL.Cls	C99	15
C.RyL.Brk	C92	0
C.RyL.Brk	C93	1
C.RyL.Brk	C94	2
C.RyL.Brk	C95	3
C.RyL.Zai	C92	0
C.RyL.Zai	C93	1
C.RyL.Zai	C94	2
C.RyL.Zai	C95	3
C.RyL.Cha	C97	0
C.RyL.Cha	C98	1
C.RyL.Cha	C99	2
C.RyL.Exc	C68	0
C.RyL.Exc	C69	1
C.Ita	C50	0
C.Ita	C51	1
C.Ita	C52	2
C.Ita	C53	3
C.Ita	C54	4
C.Ita	C55	5
C.Ita	C56	6
C.Ita	C57	7
C.Ita	C58	8
C.Ita	C59	9
C.Ita.Two	C55	0
C.Ita.Two	C56	1
C.Ita.Two	C57	2
C.Ita.Two	C58	3
C.Ita.Two	C59	4
C.Ita.Evn	C51	0
C.Ita.Evn	C52	1
C.Ita.Pia	C50	0
C.KGm	C30	0
C.KGm	C31	1
C.KGm	C32	2
C.KGm	C33	3
C.KGm	C34	4
C.KGm	C35	5
C.KGm	C36	6
C.KGm	C37	7
C.KGm	C38	8
C.KGm	C39	9
C.KGm.Acc	C33	0
C.KGm.Acc	C34	1
C.KGm.Acc	C35	2
C.KGm.Acc	C36	3
C.KGm.Acc	C37	4
C.KGm.Acc	C38	5
C.KGm.Acc	C39	6
C.KGm.Dec	C30	0
C.KGm.Dec	C31	1
C.KGm.Dec	C32	2
C.Pet	C42	0
C.Pet	C43	1
C.Sco	C44	0
C.Sco	C45	1
C.Sco.Mie	C45	0
C.Vie	C25	0
C.Vie	C26	1
C.Vie	C27	2
C.Vie	C28	3
C.Vie	C29	4
C.PhD	C41	0
C.LtO	C40	0
D.QGD	D30	0
D.QGD	D31	1
D.QGD	D32	2
D.QGD	D33	3
D.QGD	D34	4
D.QGD	D35	5
D.QGD	D36	6
D.QGD	D37	7
D.QGD	D38	8
D.QGD	D39	9
D.QGD	D40	10
D.QGD	D41	11
D.QGD	D42	12
D.QGD	D43	13
D.QGD	D44	14
D.QGD	D45	15
D.QGD	D46	16
D.QGD	D47	17
D.QGD	D48	18
D.QGD	D49	19
D.QGD	D50	20
D.QGD	D51	21
