ocn1	match_kind	matched_plies	total_plies	lichess_eco	lichess_name
E.Bog.Hai.MLn	prefix	8	9	E11	Bogo-Indian Defense: Haiti Variation
E.Bog.Rom.MLn	prefix	8	11	E11	Bogo-Indian Defense: Exchange Variation
E.Bog.NEn.MLn	prefix	7	8	E11	Bogo-Indian Defense: New England Variation
E.Bog.Grn.MLn	prefix	7	8	E11	Bogo-Indian Defense: Grünfeld Variation
E.KID.Fch.MLn	prefix	5	11	E61	King's Indian Defense
E.KID.Fch.MLn.O-O	prefix	5	13	E61	King's Indian Defense
E.KID.Fou.Bg5	prefix	13	14	E76	King's Indian Defense: Four Pawns Attack, Dynamic Attack
E.KID.Fou.Be2	prefix	15	16	E77	King's Indian Defense: Four Pawns Attack, Normal Attack
E.KID.Cls.Old	prefix	11	12	E91	King's Indian Defense: Orthodox Variation
E.KID.Cls.Old.e5	prefix	11	14	E91	King's Indian Defense: Orthodox Variation
E.Nim.Rub.Cls	exact	10	10	E48	Nimzo-Indian Defense: Normal Variation, Classical Defense
E.Nim.Rub.Cls.cxd5	prefix	10	11	E48	Nimzo-Indian Defense: Normal Variation, Classical Defense
