ocn1	canonical_name	name_basis	basis_rule
B.Sca.Ice	Scandinavian, Icelandic Gambit	review	review
B.Ale.Fou	Alekhine, Four Pawns Attack	review	review
B.Ale.Exc	Alekhine, Exchange	review	review
B.Pir.Aus	Pirc, Austrian Attack	review	review
B.Pir.Cls	Pirc, Classical	review	review
B.Pir.Fch	Pirc, Fianchetto	review	review
B.Mod.Avk	Modern Defence, Averbakh	review	review
B.Fre.Rub	French, Rubinstein	review	review
B.Fre.Bur	French, Burn	review	review
B.Fre.Mac	French, MacCutcheon	person	attributed_to
B.CaK.Exc	Caro-Kann, Exchange	review	review
B.CaK.Kar	Caro-Kann, Karpov	review	review
C.Fou	Four Knights Game	review	review
C.Fou.Glk	Four Knights, Glek System	review	review
C.Fou.Sco	Four Knights, Scotch Variation	review	review
C.Fou.Spa	Four Knights, Spanish Variation	review	review
C.Fou.Spa.Rub	Four Knights Spanish, Rubinstein	review	review
C.Fou.Hal	Four Knights, Halloween Gambit	review	review
C.Bsh	Bishop's Opening	review	review
C.Bsh.Urs	Bishop's Opening, Urusov Gambit	person	attributed_to
C.Pon	Ponziani Opening	review	review
C.Pon.Jae	Ponziani, Jaenisch Counterattack	review	review
C.Pon.CGm	Ponziani, Countergambit	review	review
C.Cen	Center Game	review	review
C.Cen.Dsh	Danish Gambit	review	review
C.Cen.Pau	Center Game, Paulsen Attack	review	review
C.Ita.Giu	Italian, Giuoco Piano	review	review
C.Ita.Two.Ng5	Italian Two Knights, Knight Attack	review	review
C.Ita.Two.Ng5.Trx	Two Knights, Traxler Counterattack	review	review
C.Pet.Coc	Petrov, Cochrane Gambit	person	attributed_to
C.Pet.Mod	Petrov, Modern Attack	review	review
C.Sco.Gbt	Scotch, Scotch Gambit	review	review
C.Vie.Gbt	Vienna, Vienna Gambit	review	review
C.PhD.Han	Philidor, Hanham	review	review
D.QGA.Cls	QGA, Classical	review	review
D.Sla.Che	Slav, Chebanenko	review	review
D.Sem.AMe	Semi-Slav, Anti-Meran	review	review
D.QGD.Har	QGD, Harrwitz Attack	review	review
D.Cat.Fch	Catalan, Fianchetto Main Line	review	review
E.KID.Cls.Pet	KID Classical, Petrosian	person	attributed_to
E.KID.Cls.Byn	KID Classical, Bayonet Attack	review	review
E.KID.Mak	KID, Makogonov	review	review
E.Nim.Rub.Hub	Nimzo Rubinstein, Hübner	review	review
E.Bog.Nim	Bogo-Indian, Nimzowitsch	review	review
E.Bog.WSm	Bogo-Indian, Wade-Smyslov	review	review
E.QID.Cls	QID, Classical	review	review
E.Gru.Sml	Grünfeld, Sämisch	review	review
E.Gru.Brn	Grünfeld, Brinckmann	review	review
E.OldI.Ukr	Old Indian, Ukrainian	review	review
B.Sic.Clo	Sicilian, Closed	review	review
B.Sic.Clo.GPr	Sicilian Closed, Grand Prix Attack	review	review
B.Sic.Clo.Fch	Sicilian Closed, Fianchetto	review	review
B.Sic.Win	Sicilian, Wing Gambit	review	review
B.Sic.Bow	Sicilian, Bowdler Attack	review	review
B.CaK.Fan	Caro-Kann, Fantasy	review	review
B.CaK.Brn	Caro-Kann, Bronstein-Larsen	review	review
B.CaK.Sml	Caro-Kann, Sämisch	review	review
B.Fre.Stn	French, Steinitz	review	review
