ocn1	canonical_name	relation	renamed_from	renamed_to	date	author	commit	commit_subject	source_ref	evidence_grade
C.Fou.Spa.Dbl.MLn.Blk	Four Knights, Spanish Variation, Symmetrical Variation, Blake Variation	renamed	Four Knights Game: Spanish Variation, Symmetrical, Blake Variation	Four Knights Game: Spanish Variation, Symmetrical Variation, Blake Variation	2023-04-08	Niklas Fiekas	3d8f1fe0a	consistently use Symmetrical Variation	https://github.com/lichess-org/chess-openings/commit/3d8f1fe0a	attested
C.Fou.Spa.Dbl.MLn.Met	Four Knights, Spanish Variation, Symmetrical Variation, Metger Unpin	renamed	Four Knights Game: Spanish Variation, Symmetrical, Metger Unpin	Four Knights Game: Spanish Variation, Symmetrical Variation, Metger Unpin	2023-04-08	Niklas Fiekas	3d8f1fe0a	consistently use Symmetrical Variation	https://github.com/lichess-org/chess-openings/commit/3d8f1fe0a	attested
D.Sla.Che	Slav, Chebanenko	renamed	Slav Defense: Chameleon Variation	Slav Defense: Chebanenko-Chameleon Variation	2023-07-24	sergi-nda	180e888de	Update d.tsv	https://github.com/lichess-org/chess-openings/commit/180e888de	attested
D.Sla.Che.Adv	Slav Chebanenko, Advance System	renamed	Slav Defense: Chameleon Variation, Advance System	Slav Defense: Chebanenko-Chameleon Variation, Advance System	2023-07-24	sergi-nda	180e888de	Update d.tsv	https://github.com/lichess-org/chess-openings/commit/180e888de	attested
D.Sla.Che	Slav, Chebanenko	renamed	Slav Defense: Chebanenko-Chameleon Variation	Slav Defense: Chebanenko Variation	2023-07-25	Niklas Fiekas	70e05585d	Chebanenko-Chameleon -> Chebanenko	https://github.com/lichess-org/chess-openings/commit/70e05585d	attested
D.Sla.Che.Adv	Slav Chebanenko, Advance System	renamed	Slav Defense: Chebanenko-Chameleon Variation, Advance System	Slav Defense: Chebanenko Variation, Advance System	2023-07-25	Niklas Fiekas	70e05585d	Chebanenko-Chameleon -> Chebanenko	https://github.com/lichess-org/chess-openings/commit/70e05585d	attested
B.Sic.Alp.Dd6.MLn.Nc6.BPD	Delayed Alapin Basman-Palatnik Double Gambit	renamed	Sicilian Defense: Delayed Alapin, Basman-Palatnik Double Gambit	Sicilian Defense: Delayed Alapin Variation, Basman-Palatnik Double Gambit	2023-08-22	Niklas Fiekas	0024dd4b3	fix Delayed Alapin consistency (fixes #127)	https://github.com/lichess-org/chess-openings/commit/0024dd4b3	attested
B.Sic.Alp.Dd6.MLn.Nc6.BPg	Delayed Alapin Basman-Palatnik Gambit	renamed	Sicilian Defense: Delayed Alapin, Basman-Palatnik Gambit	Sicilian Defense: Delayed Alapin Variation, Basman-Palatnik Gambit	2023-08-22	Niklas Fiekas	0024dd4b3	fix Delayed Alapin consistency (fixes #127)	https://github.com/lichess-org/chess-openings/commit/0024dd4b3	attested
B.Sic.Fre.c3	Sicilian French, Delayed Alapin	renamed	Sicilian Defense: Delayed Alapin Variation	Sicilian Defense: Delayed Alapin Variation, with e6	2023-08-22	Niklas Fiekas	0024dd4b3	fix Delayed Alapin consistency (fixes #127)	https://github.com/lichess-org/chess-openings/commit/0024dd4b3	attested
B.Sic.Mod.c3	Sicilian Modern, Delayed Alapin	renamed	Sicilian Defense: Delayed Alapin	Sicilian Defense: Delayed Alapin Variation, with d6	2023-08-22	Niklas Fiekas	0024dd4b3	fix Delayed Alapin consistency (fixes #127)	https://github.com/lichess-org/chess-openings/commit/0024dd4b3	attested
