ocn1	canonical_name	relation	renamed_from	renamed_to	date	author	commit	commit_subject	source_ref	evidence_grade
A.Kad	Kádas Opening	renamed	Kadas Opening	Kádas Opening	2022-02-26	Niklas Fiekas	5685801f8	Kadas -> Kádas	https://github.com/lichess-org/chess-openings/commit/5685801f8	attested
A.Kad.c5.b4	Kádas Opening, Kádas Gambit	renamed	Kadas Opening: Kadas Gambit	Kádas Opening: Kádas Gambit	2022-02-26	Niklas Fiekas	5685801f8	Kadas -> Kádas	https://github.com/lichess-org/chess-openings/commit/5685801f8	attested
A.Kad.e5.d4.exd4.c3	Kádas Gambit, c3	renamed	Kadas Opening: Kadas Gambit	Kádas Opening: Kádas Gambit	2022-02-26	Niklas Fiekas	5685801f8	Kadas -> Kádas	https://github.com/lichess-org/chess-openings/commit/5685801f8	attested
A.Lar.b5	Larsen Attack, Polish Variation	renamed	Nimzowitsch-Larsen Attack: Polish Variation	Nimzo-Larsen Attack: Polish Variation	2022-03-14	Dave Cole	66438186e	Make Nimzo-Larsen Attack naming consistent	https://github.com/lichess-org/chess-openings/commit/66438186e	attested
B.Nim.Col	Nimzowitsch Defence, Colorado Countergambit	renamed	Nimzowitsch Defense: Lean Variation	Nimzowitsch Defense: Colorado Countergambit	2022-05-28	fynsta	62e93020c	Some Nimzowitsch Defense fixes	https://github.com/lichess-org/chess-openings/commit/62e93020c	attested
B.Nim.Col.Acc	Nimzowitsch Colorado, Accepted	renamed	Nimzowitsch Defense: Lean Variation, Colorado Counter Accepted	Nimzowitsch Defense: Colorado Countergambit	2022-05-28	fynsta	62e93020c	Some Nimzowitsch Defense fixes	https://github.com/lichess-org/chess-openings/commit/62e93020c	attested
B.Nim.Dpn	Nimzowitsch Defence, 2.d4	renamed	King's Pawn Game: Nimzowitsch Defense	Nimzowitsch Defense	2022-05-28	fynsta	62e93020c	Some Nimzowitsch Defense fixes	https://github.com/lichess-org/chess-openings/commit/62e93020c	attested
C.KPO.Kgt.MLn.Be2.Nf6.d4	King's Knight Opening Be2 Nf6, d4	renamed	Tayler Opening	King's Pawn Game: Tayler Opening	2022-05-28	Chathulanka Gamage	3764ce700	normalize tayler opening name (#40)	https://github.com/lichess-org/chess-openings/commit/3764ce700	attested
C.KGm.g5	King's Gambit Declined, Zilbermints Double Countergambit	renamed	King's Gambit: Zilbermints Double Countergambit	King's Gambit Declined: Zilbermints Double Countergambit	2022-06-26	Fynn Starke	be4a35dbe	Fixes #46	https://github.com/lichess-org/chess-openings/commit/be4a35dbe	attested
D.Bgm	Blackmar-Diemer Gambit	renamed	Blackmar Gambit	Blackmar-Diemer Gambit	2022-06-26	Fynn Starke	be4a35dbe	Fixes #46	https://github.com/lichess-org/chess-openings/commit/be4a35dbe	attested
D.QGD.Exc.Bg5.Be7.e3.O-O	QGD Exchange Chameleon, Castled Line	renamed	Queen's Gambit Declined: Exchange, Chameleon Variation	Queen's Gambit Declined: Exchange Variation, Chameleon Variation	2022-06-26	Fynn Starke	be4a35dbe	Fixes #46	https://github.com/lichess-org/chess-openings/commit/be4a35dbe	attested
C.KGm.Acc.MKe	King's Gambit Accepted, Mason-Keres Gambit	renamed	Van Geet Opening: Nowokunski Gambit	King's Gambit Accepted: Mason-Keres Gambit	2022-07-14	cmgchess	6432832d6	seperate entry for C33 KGA Mason-Keres Gambit #52	https://github.com/lichess-org/chess-openings/commit/6432832d6	attested
D.QPG.Lon	Queen's Pawn Game, Accelerated London	renamed	Queen's Pawn Game: Mason Variation	Queen's Pawn Game: Accelerated London System	2022-07-17	Niklas Fiekas	e676c7f8f	apply lichess-org/scalachess#300	https://github.com/lichess-org/chess-openings/commit/e676c7f8f	attested
C.Ita.Nd4	Italian Game, Blackburne-Kostić Gambit	renamed	Italian Game: Schilling-Kostic Gambit	Italian Game: Blackburne-Kostić Gambit	2022-08-26	Niklas Fiekas	6d17b857f	Kostic -> Kostić, tweak Blackburne Shilling Gambit (fixes #57)	https://github.com/lichess-org/chess-openings/commit/6d17b857f	attested
A.EID.Bg5	East Indian Defence, Torre Setup	renamed	Torre Attack	Torre Attack: Fianchetto Defense	2022-08-27	allanjoseph98	0cc89d93b	Torre Attack Ch. 4	https://github.com/lichess-org/chess-openings/commit/0cc89d93b	attested
A.Eng.Mye.d4	English Opening, Myers Gambit	renamed	English Opening: Myers Variation	English Opening: Myers Gambit	2022-08-27	allanjoseph98	b52bbe8c8	Myers variations changes ch.11	https://github.com/lichess-org/chess-openings/commit/b52bbe8c8	attested
A.Eng.Sym.Nc3.Nc6.g3	English Symmetrical Two Knights, g3	renamed	English Opening: Symmetrical Variation, Fianchetto Variation	English Opening: Symmetrical Variation, Two Knights, Fianchetto Variation	2022-08-27	allanjoseph98	f1c866726	Chapter 1 - Symmetrical Variation related changes	https://github.com/lichess-org/chess-openings/commit/f1c866726	attested
A.Eng.Sym.Nc3.Nc6.g3.Nf3	English Symmetrical Three Knights, Fianchetto	renamed	English Opening: Symmetrical Variation, Two Knights Line	English Opening: Symmetrical Variation, Three Knights, Fianchetto Variation	2022-08-27	allanjoseph98	f1c866726	Chapter 1 - Symmetrical Variation related changes	https://github.com/lichess-org/chess-openings/commit/f1c866726	attested
A.Tor	Torre Attack	renamed	Torre Attack	Torre Attack: Classical Defense	2022-08-27	allanjoseph98	0cc89d93b	Torre Attack Ch. 4	https://github.com/lichess-org/chess-openings/commit/0cc89d93b	attested
B.Mod.Std.Nc3.Mon	Modern Defence, Mongredien with Nc3	renamed	Modern Defense: Mongredien Defense	Modern Defense: Mongredien Defense, Nc3 Line	2022-08-27	allanjoseph98	debfdb6dc	Mongredien Defense renaming - Ch.8	https://github.com/lichess-org/chess-openings/commit/debfdb6dc	attested
B.Mod.Std.Nf3.b6	Modern Defence, Mongredien with Nf3	renamed	Modern Defense: Mongredien Defense	Modern Defense: Mongredien Defense, Nf3 Line	2022-08-27	allanjoseph98	debfdb6dc	Mongredien Defense renaming - Ch.8	https://github.com/lichess-org/chess-openings/commit/debfdb6dc	attested
B.Sic.Clo.Fch.Bot.e5	Closed Sicilian Botvinnik, e5 Line	renamed	Sicilian Defense: Closed, Botvinnik Defense	Sicilian Defense: Closed, Botvinnik Defense with f4	2022-08-27	allanjoseph98	4a81157d0	Sicilian Botvinnik Defense changes ch.12	https://github.com/lichess-org/chess-openings/commit/4a81157d0	attested
B.Sic.Clo.Fch.MLn.Nge2.e5	Closed Sicilian Fianchetto Nge2 Line, e5	renamed	Sicilian Defense: Closed, Botvinnik Defense	Sicilian Defense: Closed, Botvinnik Defense with Nge2	2022-08-27	allanjoseph98	4a81157d0	Sicilian Botvinnik Defense changes ch.12	https://github.com/lichess-org/chess-openings/commit/4a81157d0	attested
B.Sic.Mya	Sicilian, Myers Attack with a4	renamed	Sicilian Defense: Myers Attack	Sicilian Defense: Myers Attack, a4 Variation	2022-08-27	allanjoseph98	bbe19b4e2	Myers Attack renaming Ch.10	https://github.com/lichess-org/chess-openings/commit/bbe19b4e2	attested
B.Sic.Myh	Sicilian, Myers Attack with h4	renamed	Sicilian Defense: Myers Attack	Sicilian Defense: Myers Attack, h4 Variation	2022-08-27	allanjoseph98	bbe19b4e2	Myers Attack renaming Ch.10	https://github.com/lichess-org/chess-openings/commit/bbe19b4e2	attested
B.Sic.Naj.Eng.e6.Qd2	Sicilian Najdorf English e6, Qd2	renamed	Sicilian Defense: Scheveningen Variation, English Attack	Sicilian Defense: Scheveningen Variation, English Attack, Qd2 Line	2022-08-27	allanjoseph98	cd4963857	Scheveningen English Attack renaming	https://github.com/lichess-org/chess-openings/commit/cd4963857	attested
B.Sic.OKn.g6	Sicilian Open Knights, Accelerated Dragon	renamed	Sicilian Defense: Accelerated Dragon	Sicilian Defense: Dragon Variation, Accelerated Dragon	2022-08-27	allanjoseph98	a7032a12d	Dragon->Dragon Variation, Accelerated Dragon Ch.14	https://github.com/lichess-org/chess-openings/commit/a7032a12d	attested
C.Ita.Giu	Italian, Giuoco Piano	renamed	Giuoco Piano	Italian Game: Giuoco Piano	2022-08-28	hitansh1299	2c9915224	Completed changes in accordance with #56 regarding the Giuco Piano.	https://github.com/lichess-org/chess-openings/commit/2c9915224	attested
B.Sic.Tay.Nc3.Qc7.Be3	Taimanov Bastrikov, English Attack	renamed	Sicilian Defense: Taimanov Variation, Bastrikov Variation	Sicilian Defense: Taimanov Variation, Bastrikov Variation, English Attack	2022-09-02	allanjoseph98	d831c4f04	Bastrikov quickfix	https://github.com/lichess-org/chess-openings/commit/d831c4f04	attested
A.Eng.Sym.Nc3.Nc6.g3.e3	English Symmetrical Botvinnik Reversed, e3	renamed	English Opening: Symmetrical Variation, Botvinnik System Reversed, e3 Variation	English Opening: Symmetrical Variation, Botvinnik System Reversed, with e3	2022-09-06	Niklas Fiekas	3ee283fe6	consistently use ", with ..." for distinguishing moves (#55)	https://github.com/lichess-org/chess-openings/commit/3ee283fe6	attested
A.Eng.Sym.Nc3.Nc6.g3.e5	English Symmetrical Three Knights, e5 Line	renamed	English Opening: Symmetrical Variation, Botvinnik System Reversed, Nf3 Variation	English Opening: Symmetrical Variation, Botvinnik System Reversed, with Nf3	2022-09-06	Niklas Fiekas	3ee283fe6	consistently use ", with ..." for distinguishing moves (#55)	https://github.com/lichess-org/chess-openings/commit/3ee283fe6	attested
B.Mod.Std.Nc3.Mon	Modern Defence, Mongredien with Nc3	renamed	Modern Defense: Mongredien Defense, Nc3 Line	Modern Defense: Mongredien Defense, with Nc3	2022-09-06	Niklas Fiekas	3ee283fe6	consistently use ", with ..." for distinguishing moves (#55)	https://github.com/lichess-org/chess-openings/commit/3ee283fe6	attested
B.Mod.Std.Nf3.b6	Modern Defence, Mongredien with Nf3	renamed	Modern Defense: Mongredien Defense, Nf3 Line	Modern Defense: Mongredien Defense, with Nf3	2022-09-06	Niklas Fiekas	3ee283fe6	consistently use ", with ..." for distinguishing moves (#55)	https://github.com/lichess-org/chess-openings/commit/3ee283fe6	attested
B.Sic.Mya	Sicilian, Myers Attack with a4	renamed	Sicilian Defense: Myers Attack, a4 Variation	Sicilian Defense: Myers Attack, with a4	2022-09-06	Niklas Fiekas	3ee283fe6	consistently use ", with ..." for distinguishing moves (#55)	https://github.com/lichess-org/chess-openings/commit/3ee283fe6	attested
B.Sic.Myh	Sicilian, Myers Attack with h4	renamed	Sicilian Defense: Myers Attack, h4 Variation	Sicilian Defense: Myers Attack, with h4	2022-09-06	Niklas Fiekas	3ee283fe6	consistently use ", with ..." for distinguishing moves (#55)	https://github.com/lichess-org/chess-openings/commit/3ee283fe6	attested
B.Sic.Naj.Eng.e6.Qd2	Sicilian Najdorf English e6, Qd2	renamed	Sicilian Defense: Scheveningen Variation, English Attack, Qd2 Line	Sicilian Defense: Scheveningen Variation, English Attack, with Qd2	2022-09-06	Niklas Fiekas	3ee283fe6	consistently use ", with ..." for distinguishing moves (#55)	https://github.com/lichess-org/chess-openings/commit/3ee283fe6	attested
A.PQI	Pseudo-Queen's Indian Defence	renamed	Queen's Indian Defense	Pseudo Queen's Indian Defense	2022-09-08	allanjoseph98	1979a88fd	QID ->Pseudo QID. Marienbad:Berg->Marienbad system	https://github.com/lichess-org/chess-openings/commit/1979a88fd	attested
A.PQI.Fch.Ber	Pseudo-Queen's Indian Fianchetto, Berg Variation	renamed	Queen's Indian Defense: Marienbad System, Berg Variation	Marienbad System: Berg Variation	2022-09-08	allanjoseph98	1979a88fd	QID ->Pseudo QID. Marienbad:Berg->Marienbad system	https://github.com/lichess-org/chess-openings/commit/1979a88fd	attested
B.Fre.Nrm.a6	French Defence, St. George Defence	renamed	St. George Defense	French Defense: St. George Defense	2022-09-08	allanjoseph98	f3e14a312	C00 St. George defense -> French: St. George	https://github.com/lichess-org/chess-openings/commit/f3e14a312	attested
B.Fre.Nrm.a6.Nf3	St. George Defence, Traditional Line	renamed	St. George Defense: New St. George, Traditional Line	French Defense: St. George Defense,  Traditional Line	2022-09-08	allanjoseph98	f3e14a312	C00 St. George defense -> French: St. George	https://github.com/lichess-org/chess-openings/commit/f3e14a312	attested
B.Fre.Nrm.a6.c4	St. George Defence, Three Pawn Attack	renamed	St. George Defense: New St. George, Three Pawn Attack	French Defense: St. George Defense,  Three Pawn Attack	2022-09-08	allanjoseph98	f3e14a312	C00 St. George defense -> French: St. George	https://github.com/lichess-org/chess-openings/commit/f3e14a312	attested
B.Fre.Nrm.a6.c4.b5	St. George Defence, Sanky-George Gambit	renamed	St. George Defense: New St. George, Sanky-George Gambit	French Defense: St. George Defense,  Sanky-George Gambit	2022-09-08	allanjoseph98	f3e14a312	C00 St. George defense -> French: St. George	https://github.com/lichess-org/chess-openings/commit/f3e14a312	attested
B.Fre.Nrm.c5	French Defence, Franco-Sicilian	renamed	Queen's Pawn Game: Franco-Sicilian Defense	French Defense: Franco-Sicilian Defense	2022-09-08	allanjoseph98	7238071f8	QPG: Franco-Sicilian -> French Defense	https://github.com/lichess-org/chess-openings/commit/7238071f8	attested
B.Fre.Nf3.f5	French Knight Variation, Franco-Hiva Gambit	renamed	French Defense: Franco-Hiva Gambit	French Defense: Knight Variation, Franco-Hiva Gambit	2022-09-27	allanjoseph98	921becba7	French:Franco-Hiva changes	https://github.com/lichess-org/chess-openings/commit/921becba7	attested
B.Fre.d3.f5	French KIA, Franco-Hiva Gambit	renamed	French Defense: Franco-Hiva Gambit	French Defense: King's Indian Attack, Franco-Hiva Gambit	2022-09-27	allanjoseph98	921becba7	French:Franco-Hiva changes	https://github.com/lichess-org/chess-openings/commit/921becba7	attested
C.KGm.Acc.SBb	King's Gambit Accepted, Schurig Gambit with Bb5	renamed	King's Gambit Accepted: Schurig Gambit	King's Gambit Accepted: Schurig Gambit with Bb5	2022-10-03	allanjoseph98	05497f896	Schurig Gambit de-deduplication	https://github.com/lichess-org/chess-openings/commit/05497f896	attested
C.KGm.Acc.SBd	King's Gambit Accepted, Schurig Gambit with Bd3	renamed	King's Gambit Accepted: Schurig Gambit	King's Gambit Accepted: Schurig Gambit with Bd3	2022-10-03	allanjoseph98	05497f896	Schurig Gambit de-deduplication	https://github.com/lichess-org/chess-openings/commit/05497f896	attested
C.RyL.Brk	Ruy López, Breyer	renamed	Ruy Lopez: Morphy Defense, Breyer Defense	Ruy Lopez: Closed, Breyer Defense	2022-10-03	allanjoseph98	0d238523a	Lotsa closed Ruy lopez changes.	https://github.com/lichess-org/chess-openings/commit/0d238523a	attested
C.RyL.Brk.Qui	Ruy López Breyer, Quiet Variation	renamed	Ruy Lopez: Morphy Defense, Breyer Defense, Quiet Variation	Ruy Lopez: Closed, Breyer Defense, Quiet Variation	2022-10-03	allanjoseph98	0d238523a	Lotsa closed Ruy lopez changes.	https://github.com/lichess-org/chess-openings/commit/0d238523a	attested
C.RyL.Brk.d4.Nbd7	Ruy López Breyer d4, Nbd7	renamed	Ruy Lopez: Morphy Defense, Breyer Defense, Zaitsev Hybrid	Ruy Lopez: Closed, Breyer Defense, Zaitsev Hybrid	2022-10-03	allanjoseph98	0d238523a	Lotsa closed Ruy lopez changes.	https://github.com/lichess-org/chess-openings/commit/0d238523a	attested
C.RyL.Cha.Bc2	Ruy López Chigorin, Bc2	renamed	Ruy Lopez: Closed, Closed Defense	Ruy Lopez: Closed, Chigorin Defense	2022-10-03	allanjoseph98	0d238523a	Lotsa closed Ruy lopez changes.	https://github.com/lichess-org/chess-openings/commit/0d238523a	attested
C.RyL.Cha.MLn	Ruy López Chigorin, Main Line	renamed	Ruy Lopez: Closed, Closed Defense	Ruy Lopez: Closed, Chigorin Defense	2022-10-03	allanjoseph98	0d238523a	Lotsa closed Ruy lopez changes.	https://github.com/lichess-org/chess-openings/commit/0d238523a	attested
C.RyL.Cha.Pan	Ruy López Chigorin, Panov System	renamed	Ruy Lopez: Morphy Defense, Chigorin Defense, Panov System	Ruy Lopez: Closed, Chigorin Defense, Panov System	2022-10-03	allanjoseph98	0d238523a	Lotsa closed Ruy lopez changes.	https://github.com/lichess-org/chess-openings/commit/0d238523a	attested
C.RyL.Cls.Kho	Ruy López Closed, Kholmov System	renamed	Ruy Lopez: Closed, Keres Defense	Ruy Lopez: Closed, Karpov Variation	2022-10-03	allanjoseph98	0d238523a	Lotsa closed Ruy lopez changes.	https://github.com/lichess-org/chess-openings/commit/0d238523a	attested
C.RyL.Cls.c3.O-O	Ruy López Closed, Castled Main Line	renamed	Ruy Lopez: Closed, Closed Defense	Ruy Lopez: Closed	2022-10-03	allanjoseph98	0d238523a	Lotsa closed Ruy lopez changes.	https://github.com/lichess-org/chess-openings/commit/0d238523a	attested
C.Vie.Nc6.Alp	Vienna Gambit Max Lange, Hamppe-Allgaier Gambit, Alapin Variation	renamed	Vienna Game: Vienna Gambit, Hamppe-Allgaier Gambit, Alapin Variation	Vienna Gambit with Max Lange Defense: Hamppe-Allgaier Gambit, Alapin Variation	2022-10-03	allanjoseph98	ddf500db0	Vienna gambit changes	https://github.com/lichess-org/chess-openings/commit/ddf500db0	attested
C.Vie.Nc6.Frs	Vienna Gambit Max Lange, Steinitz Gambit, Fraser-Minckwitz Defence	renamed	Vienna Game: Vienna Gambit, Steinitz Gambit, Fraser-Minckwitz Defense	Vienna Gambit with Max Lange Defense: Steinitz Gambit, Fraser-Minckwitz Defense	2022-10-03	allanjoseph98	ddf500db0	Vienna gambit changes	https://github.com/lichess-org/chess-openings/commit/ddf500db0	attested
C.Vie.Nc6.HAg	Vienna Gambit Max Lange, Hamppe-Allgaier Gambit	renamed	Vienna Game: Vienna Gambit, Hamppe-Allgaier Gambit	Vienna Gambit with Max Lange Defense: Hamppe-Allgaier Gambit	2022-10-03	allanjoseph98	ddf500db0	Vienna gambit changes	https://github.com/lichess-org/chess-openings/commit/ddf500db0	attested
C.Vie.Nc6.HMz	Vienna Gambit Max Lange, Hamppe-Muzio Gambit	renamed	Vienna Game: Vienna Gambit, Hamppe-Muzio Gambit	Vienna Gambit with Max Lange Defense: Hamppe-Muzio Gambit	2022-10-03	allanjoseph98	ddf500db0	Vienna gambit changes	https://github.com/lichess-org/chess-openings/commit/ddf500db0	attested
C.Vie.Nc6.Pls	Vienna Gambit Max Lange, Steinitz Gambit, Paulsen Defence	renamed	Vienna Game: Vienna Gambit, Steinitz Gambit, Paulsen Defense	Vienna Gambit with Max Lange Defense: Steinitz Gambit, Paulsen Defense	2022-10-03	allanjoseph98	ddf500db0	Vienna gambit changes	https://github.com/lichess-org/chess-openings/commit/ddf500db0	attested
C.Vie.Nc6.Prc	Vienna Gambit Max Lange, Pierce Gambit	renamed	Vienna Game: Vienna Gambit, Pierce Gambit	Vienna Gambit with Max Lange Defense: Pierce Gambit	2022-10-03	allanjoseph98	ddf500db0	Vienna gambit changes	https://github.com/lichess-org/chess-openings/commit/ddf500db0	attested
C.Vie.Nc6.Srn	Vienna Gambit Max Lange, Steinitz Gambit, Sörensen Defence	renamed	Vienna Game: Vienna Gambit, Steinitz Gambit, Sörensen Defense	Vienna Gambit with Max Lange Defense: Steinitz Gambit, Sörensen Defense	2022-10-03	allanjoseph98	ddf500db0	Vienna gambit changes	https://github.com/lichess-org/chess-openings/commit/ddf500db0	attested
C.Vie.Nc6.Thr	Vienna Gambit Max Lange, Hamppe-Allgaier Gambit, Thorold Variation	renamed	Vienna Game: Vienna Gambit, Hamppe-Allgaier Gambit, Thorold Variation	Vienna Gambit with Max Lange Defense: Hamppe-Allgaier Gambit, Thorold Variation	2022-10-03	allanjoseph98	ddf500db0	Vienna gambit changes	https://github.com/lichess-org/chess-openings/commit/ddf500db0	attested
C.Vie.Nc6.Zkr	Vienna Gambit Max Lange, Steinitz Gambit, Zukertort Defence	renamed	Vienna Game: Vienna Gambit, Steinitz Gambit, Zukertort Defense	Vienna Gambit with Max Lange Defense: Steinitz Gambit, Zukertort Defense	2022-10-03	allanjoseph98	ddf500db0	Vienna gambit changes	https://github.com/lichess-org/chess-openings/commit/ddf500db0	attested
C.Vie.Nc6.f4	Vienna Gambit, Max Lange Defence	renamed	Vienna Game: Vienna Gambit	Vienna Gambit with Max Lange Defense	2022-10-03	allanjoseph98	ddf500db0	Vienna gambit changes	https://github.com/lichess-org/chess-openings/commit/ddf500db0	attested
C.Vie.Nc6.f4.Bc5	Vienna Gambit, Quelle Gambit	renamed	Vienna Game: Vienna Gambit, Quelle Gambit	Vienna Gambit with Max Lange Defense: Quelle Gambit	2022-10-03	allanjoseph98	ddf500db0	Vienna gambit changes	https://github.com/lichess-org/chess-openings/commit/ddf500db0	attested
C.Vie.Nc6.f4.exf4.Nf3	Vienna Gambit Max Lange, Knight Variation	renamed	Vienna Game: Vienna Gambit, Steinitz Gambit, Knight Variation	Vienna Gambit with Max Lange Defense: Knight Variation	2022-10-03	allanjoseph98	ddf500db0	Vienna gambit changes	https://github.com/lichess-org/chess-openings/commit/ddf500db0	attested
C.Vie.Nc6.f4.exf4.Nf3.Be7	Vienna Gambit Max Lange, Cunningham Defence	renamed	Vienna Game: Vienna Gambit, Cunningham Defense	Vienna Gambit with Max Lange Defense: Cunningham Defense	2022-10-03	allanjoseph98	ddf500db0	Vienna gambit changes	https://github.com/lichess-org/chess-openings/commit/ddf500db0	attested
C.Vie.Nc6.f4.exf4.d4	Vienna Gambit, Steinitz Gambit	renamed	Vienna Game: Vienna Gambit, Steinitz Gambit	Vienna Gambit with Max Lange Defense: Steinitz Gambit	2022-10-03	allanjoseph98	ddf500db0	Vienna gambit changes	https://github.com/lichess-org/chess-openings/commit/ddf500db0	attested
C.Vie.Nc6.f4.exf4.d4.Qh4	Vienna Steinitz Gambit, Main Line	renamed	Vienna Game: Vienna Gambit, Steinitz Gambit, Main Line	Vienna Gambit with Max Lange Defense: Steinitz Gambit, Main Line	2022-10-03	allanjoseph98	ddf500db0	Vienna gambit changes	https://github.com/lichess-org/chess-openings/commit/ddf500db0	attested
C.Ita.Two.Opn.d6	Two Knights Open, Scotch Invitation Declined	renamed	Italian Game: Scotch Gambit Declined	Italian Game: Scotch Invitation Declined	2022-10-04	allanjoseph98	102f9e91e	Italian: Scotch Gambit declined changes	https://github.com/lichess-org/chess-openings/commit/102f9e91e	attested
E.Gru.Neo	Neo-Grünfeld Defence	renamed	Neo-Grünfeld Defense	Neo-Grünfeld Defense with g3	2022-10-06	allanjoseph98	30443fabe	Neo-Grünfeld changes	https://github.com/lichess-org/chess-openings/commit/30443fabe	attested
A.Bar	Barnes Opening	renamed	Gedult's Opening	Barnes Opening	2022-10-12	allanjoseph98	26c4aafb7	Gedult->Barnes	https://github.com/lichess-org/chess-openings/commit/26c4aafb7	attested
A.Bir.f5.d4.d5	Bird Opening Double Dutch	renamed	System: Double Duck Formation	Bird Opening: Double Duck Formation	2022-10-12	allanjoseph98	3b6c48d31	Reunite double duck with mama bird	https://github.com/lichess-org/chess-openings/commit/3b6c48d31	attested
A.OID.e5.dxe5.Be6	Old Indian English Rat, Pounds Gambit	renamed	English Rat: Pounds Gambit	Rat Defense: English Rat, Pounds Gambit	2022-10-12	allanjoseph98	59a5e305e	English rat->Rat defense	https://github.com/lichess-org/chess-openings/commit/59a5e305e	attested
A.QPO.Nf6.g4	Queen's Pawn Opening, Nf6 g4	renamed	Bronstein Gambit	Indian Defense: Gibbins-Weidenhagen Gambit	2022-10-12	allanjoseph98	af400863f	Bronstein gambit->Gibbins. +Correct Weidenhagen spelling	https://github.com/lichess-org/chess-openings/commit/af400863f	attested
A.QPO.g6	Queen's Pawn Opening, Modern Defence	renamed	Modern Defense	Queen's Pawn Game: Modern Defense	2022-10-12	allanjoseph98	68d687965	d4 Modern ->QPG:Modern	https://github.com/lichess-org/chess-openings/commit/68d687965	attested
B.Brg.Zil	Borg Defence, Zilbermints Gambit	renamed	Borg Opening: Zilbermints Gambit	Borg Defense: Zilbermints Gambit	2022-10-12	allanjoseph98	c55afbc97	Borg Opening->Defense fix	https://github.com/lichess-org/chess-openings/commit/c55afbc97	attested
D.QGA.Cls.Ale.MLn	QGA Classical Alekhine, Main Line	renamed	Queen's Gambit Accepted: Classical Defense, Alekhine System, No Main Line	Queen's Gambit Accepted: Classical Defense, Alekhine System	2022-10-12	allanjoseph98	c4c142829	Remove wrong "No Main line" from QGA Alekhine	https://github.com/lichess-org/chess-openings/commit/c4c142829	attested
D.QPG.Ver.c5.Bxf6.gxf6.e4	Veresov Malich, e4 Line	renamed	Veresov Opening: Malich Gambit	Richter-Veresov Attack: Malich Gambit	2022-10-12	allanjoseph98	940717233	Veresov->Richter-Veresov	https://github.com/lichess-org/chess-openings/commit/940717233	attested
D.QPG.Ver.Ric.Bf5.Bxf6	Veresov Richter Bf5, Bxf6 Line	renamed	Queen's Pawn Game: Veresov Attack, Veresov Variation	Richter-Veresov Attack: Veresov Variation	2022-11-30	SandroMartens	e47d4e16b	qpg: Veresov Attack -> Richter-Veresov Attack	https://github.com/lichess-org/chess-openings/commit/e47d4e16b	attested
D.Bgm.Acc.Bog.MLn.Klo	Blackmar-Diemer Bogoljubow, Kloss Attack	renamed	Blackmar-Diemer Gambit: Bogoljubov Variation, Kloss Attack	Blackmar-Diemer Gambit: Bogoljubow Defense, Kloss Attack	2022-12-05	Alexandru Duca	3bbfd2510	Update d.tsv	https://github.com/lichess-org/chess-openings/commit/3bbfd2510	attested
D.Bgm.Acc.Bog.MLn.Ne5	Blackmar-Diemer Bogoljubow, Nimzowitsch Attack	renamed	Blackmar-Diemer Gambit: Bogoljubov Variation, Nimzowitsch Attack	Blackmar-Diemer Gambit: Bogoljubow Defense, Nimzowitsch Attack	2022-12-05	Alexandru Duca	3bbfd2510	Update d.tsv	https://github.com/lichess-org/chess-openings/commit/3bbfd2510	attested
D.Bgm.Acc.Bog	Blackmar-Diemer Accepted, Bogoljubow Defence	renamed	Blackmar-Diemer Gambit: Bogoljubow Defense	Blackmar-Diemer Gambit Accepted: Bogoljubow Defense	2022-12-07	Alexandru Duca	8cacba37f	BDG Variations Categorized	https://github.com/lichess-org/chess-openings/commit/8cacba37f	attested
D.Bgm.Acc.Bog.MLn.Klo	Blackmar-Diemer Bogoljubow, Kloss Attack	renamed	Blackmar-Diemer Gambit: Bogoljubow Defense, Kloss Attack	Blackmar-Diemer Gambit Accepted: Bogoljubow Defense, Kloss Attack	2022-12-07	Alexandru Duca	8cacba37f	BDG Variations Categorized	https://github.com/lichess-org/chess-openings/commit/8cacba37f	attested
D.Bgm.Acc.Bog.MLn.Stu	Blackmar-Diemer Bogoljubow, Studier Attack	renamed	Blackmar-Diemer Gambit: Bogoljubow Defense, Studier Attack	Blackmar-Diemer Gambit Accepted: Bogoljubow Defense, Studier Attack	2022-12-07	Alexandru Duca	8cacba37f	BDG Variations Categorized	https://github.com/lichess-org/chess-openings/commit/8cacba37f	attested
D.Bgm.Acc.Bog.MLn.h4	Blackmar-Diemer Bogoljubow, Mad Dog Attack	renamed	Blackmar-Diemer Gambit: Bogoljubow Defense, Mad Dog Attack	Blackmar-Diemer Gambit Accepted: Bogoljubow Defense, Mad Dog Attack	2022-12-07	Alexandru Duca	8cacba37f	BDG Variations Categorized	https://github.com/lichess-org/chess-openings/commit/8cacba37f	attested
D.Bgm.Acc.Euw	Blackmar-Diemer Accepted, Euwe Defence	renamed	Blackmar-Diemer Gambit: Euwe Defense	Blackmar-Diemer Gambit Accepted: Euwe Defense	2022-12-07	Alexandru Duca	8cacba37f	BDG Variations Categorized	https://github.com/lichess-org/chess-openings/commit/8cacba37f	attested
D.Bgm.Acc.Euw.Zil	Blackmar-Diemer Euwe, Zilbermints Gambit	renamed	Blackmar-Diemer Gambit: Euwe Defense, Zilbermints Gambit	Blackmar-Diemer Gambit Accepted: Euwe Defense, Zilbermints Gambit	2022-12-07	Alexandru Duca	8cacba37f	BDG Variations Categorized	https://github.com/lichess-org/chess-openings/commit/8cacba37f	attested
