ocn1	white	white_elo	black	black_elo	year	result	lichess_id	url
B.Sic	Carlsen, Magnus	2863	Caruana, Fabiano	2835	2020	1/2-1/2	bbp4jgEb	https://lichess.org/bbp4jgEb
B.Sic	Caruana, Fabiano	2835	Carlsen, Magnus	2863	2020	1-0	bMJKX8YH	https://lichess.org/bMJKX8YH
B.Sic.Naj	Carlsen, M.	2876	Grischuk, A.	2781	2015	1-0	jMVMo1Ua	https://lichess.org/jMVMo1Ua
B.Sic.Naj	Ding, Liren	2791	Carlsen, Magnus	2863	2020	1-0	vDq0pmw3	https://lichess.org/vDq0pmw3
B.Sic.Naj	Ding, Liren	2791	Carlsen, Magnus	2863	2020	0-1	6ra0xjZ4	https://lichess.org/6ra0xjZ4
B.Sic.Naj	Carlsen, Magnus	2863	Ding, Liren	2791	2020	1-0	BTVJpaP6	https://lichess.org/BTVJpaP6
B.Sic.Naj.Eng	Carlsen, Magnus	2863	Ding, Liren	2791	2020	1-0	BTVJpaP6	https://lichess.org/BTVJpaP6
B.Sic.Naj.Eng	Ding, Liren	2791	Carlsen, Magnus	2863	2020	0-1	6ra0xjZ4	https://lichess.org/6ra0xjZ4
B.Sic.Naj.Eng	Carlsen, M.	2861	Vachier Lagrave, M.	2780	2019	0-1	4d2hVLKj	https://lichess.org/4d2hVLKj
B.Sic.Naj.Eng	Carlsen, M.	2861	Vachier Lagrave, M.	2780	2019	1-0	mkArCT5Z	https://lichess.org/mkArCT5Z
B.Sic.Naj.Sch	Nakamura, Hikaru	2775	Topalov, Veselin	2793	2013	1/2-1/2	x43vjTbT	https://lichess.org/x43vjTbT
B.Sic.Naj.Sch	Shirov, Alexei	2718	Kasparov, Garry	2849	2001	1/2-1/2	vkPr1VTO	https://lichess.org/vkPr1VTO
B.Sic.Naj.Sch	Ivanchuk, Vassily	2717	Kasparov, Garry	2849	2001	1/2-1/2	izdLhcDH	https://lichess.org/izdLhcDH
B.Sic.Naj.Sch	Nepomniachtchi, I.	2751	Kasparov, G.	2812	2017	1/2-1/2	uNJuQn1m	https://lichess.org/uNJuQn1m
B.Sic.Naj.Adm	Nepomniachtchi, Ian	2784	Carlsen, Magnus	2863	2020	0-1	4i7ggz2L	https://lichess.org/4i7ggz2L
B.Sic.Naj.Adm	Nepomniachtchi, Ian	2784	Carlsen, Magnus	2863	2020	0-1	vhck1T54	https://lichess.org/vhck1T54
B.Sic.Naj.Adm	So, W.	2760	Carlsen, M.	2870	2019	1/2-1/2	5H6i4xRr	https://lichess.org/5H6i4xRr
B.Sic.Naj.Adm	Carlsen, M.	2832	Nakamura, Hi	2785	2017	1/2-1/2	fn2C5ODv	https://lichess.org/fn2C5ODv
B.Sic.Naj.Pol	Wang, Hao	2739	Nakamura, Hikaru	2778	2012	1-0	EEiUY1fX	https://lichess.org/EEiUY1fX
B.Sic.Naj.Pol	Leko, Peter	2745	Ivanchuk, Vassily	2717	2001	1-0	6hTro47G	https://lichess.org/6hTro47G
B.Sic.Naj.Pol	Tal, Mihail	2705	Polugaevsky, Lev	2635	1980	1/2-1/2	D4PQqufl	https://lichess.org/D4PQqufl
B.Sic.Naj.Pol	Tal, Mihail	2705	Polugaevsky, Lev	2635	1980	0-1	gAJFG46p	https://lichess.org/gAJFG46p
B.Sic.Naj.Pst	Caruana, F..	2842	Vachier Lagrave, M..	2767	2021	1-0	oAE56yGP	https://lichess.org/oAE56yGP
B.Sic.Naj.Pst	Caruana, F..	2823	Vachier Lagrave, M..	2784	2021	1-0	h15D2RxK	https://lichess.org/h15D2RxK
B.Sic.Naj.Pst	Caruana, F.	2819	Vachier Lagrave, M.	2779	2019	1-0	rgjomTAG	https://lichess.org/rgjomTAG
B.Sic.Naj.Pst	Leko, Peter	2745	Kasparov, Garry	2849	2001	1/2-1/2	DISwa3Yx	https://lichess.org/DISwa3Yx
B.Sic.Sve	Caruana, F.	2832	Carlsen, M.	2835	2018	1/2-1/2	gnCbmvaX	https://lichess.org/gnCbmvaX
B.Sic.Sve	Caruana, F.	2832	Carlsen, M.	2835	2018	0-1	oI7SdvND	https://lichess.org/oI7SdvND
B.Sic.Sve	Caruana, F.	2832	Carlsen, M.	2835	2018	1/2-1/2	9hRmnVXz	https://lichess.org/9hRmnVXz
B.Sic.Sve	Caruana, F.	2832	Carlsen, M.	2835	2018	1/2-1/2	oLo7q12t	https://lichess.org/oLo7q12t
B.Sic.Sve.Nd5	Giri, A.	2793	Carlsen, M.	2853	2015	1/2-1/2	3T6laDU6	https://lichess.org/3T6laDU6
B.Sic.Sve.Nd5	Nepomniachtchi, I..	2784	Carlsen, M..	2862	2020	1/2-1/2	URQYx9hO	https://lichess.org/URQYx9hO
B.Sic.Sve.Nd5	Dominguez Perez, L.	2763	Carlsen, M.	2882	2019	1-0	XgWg4yVr	https://lichess.org/XgWg4yVr
B.Sic.Sve.Nd5	Nepomniachtchi, I..	2789	Carlsen, M..	2847	2021	0-1	zgRU8wfS	https://lichess.org/zgRU8wfS
B.Sic.Sve.Nd5.Be7	Giri, A.	2793	Carlsen, M.	2853	2015	1/2-1/2	3T6laDU6	https://lichess.org/3T6laDU6
B.Sic.Sve.Nd5.Be7	Nepomniachtchi, I..	2784	Carlsen, M..	2862	2020	1/2-1/2	URQYx9hO	https://lichess.org/URQYx9hO
B.Sic.Sve.Nd5.Be7	Dominguez Perez, L.	2763	Carlsen, M.	2882	2019	1-0	XgWg4yVr	https://lichess.org/XgWg4yVr
B.Sic.Sve.Nd5.Be7	Nepomniachtchi, I..	2789	Carlsen, M..	2847	2021	0-1	zgRU8wfS	https://lichess.org/zgRU8wfS
B.Sic.Sve.Nd5.Be7.Bxf6	Nepomniachtchi, I..	2784	Carlsen, M..	2862	2020	1/2-1/2	URQYx9hO	https://lichess.org/URQYx9hO
B.Sic.Sve.Nd5.Be7.Bxf6	Giri, A.	2793	Carlsen, M.	2853	2015	1/2-1/2	3T6laDU6	https://lichess.org/3T6laDU6
B.Sic.Sve.Nd5.Be7.Bxf6	Dominguez Perez, L.	2763	Carlsen, M.	2882	2019	1-0	XgWg4yVr	https://lichess.org/XgWg4yVr
B.Sic.Sve.Nd5.Be7.Bxf6	Nepomniachtchi, I..	2789	Carlsen, M..	2847	2021	0-1	zgRU8wfS	https://lichess.org/zgRU8wfS
B.Sic.Sve.Nd5.Qa5	Ivanchuk, Vassily	2711	Ni, Hua	2625	2005	1-0	LsYVhozU	https://lichess.org/LsYVhozU
B.Sic.Sve.Nd5.Qa5	Dominguez Perez, Leinier	2612	Radjabov, Teimour	2670	2004	1/2-1/2	4ZfDWkL5	https://lichess.org/4ZfDWkL5
B.Sic.Sve.Nd5.Qa5	Kokarev, Dmitry	2588	Mamedov, Rauf	2631	2008	1/2-1/2	0I7BwZld	https://lichess.org/0I7BwZld
B.Sic.Sve.Nd5.Qa5	Balogh, Csaba	2561	Moiseenko, Alexander	2657	2006	1/2-1/2	5I9RUtvA	https://lichess.org/5I9RUtvA
B.Sic.Sve.Bxf6	Topalov, V.	2740	Carlsen, M.	2861	2019	0-1	sMqdaIN7	https://lichess.org/sMqdaIN7
B.Sic.Sve.Bxf6	Anand, Viswanathan	2774	Kasparov, Garry	2817	2004	1/2-1/2	3IjC40lK	https://lichess.org/3IjC40lK
B.Sic.Sve.Bxf6	Topalov, Veselin	2813	Carlsen, Magnus	2772	2009	1/2-1/2	9kn1jmvK	https://lichess.org/9kn1jmvK
B.Sic.Sve.Bxf6	Kasparov, Garry	2851	Leko, Peter	2725	2000	1/2-1/2	2IEAzaFV	https://lichess.org/2IEAzaFV
B.Sic.Sve.Bxf6.Nd5	Topalov, V.	2740	Carlsen, M.	2861	2019	0-1	sMqdaIN7	https://lichess.org/sMqdaIN7
B.Sic.Sve.Bxf6.Nd5	Anand, Viswanathan	2774	Kasparov, Garry	2817	2004	1/2-1/2	3IjC40lK	https://lichess.org/3IjC40lK
