lichess_id	event	site	date	round
WJe58nuo	Wch Blitz 5th	Moscow	2009.11.18	30
SfRxaLxl	World Rapid 2016	Doha QAT	2016.12.26	2.2
A5q6mH1x	Pamplona 18th	Pamplona	2008.12.22	1
PCy8JMNx	TCh-RUS Premier 2019	Sochi RUS	2019.05.02	2.4
V7baWrZ7	Chessable Masters Final	chess24.com INT	2020.07.03	3.13
dyFbMrV4	NIC Classic Prelim 2021	chess24.com INT	2021.04.26	15.4
b5S7DV9V	chess.com Speed 1m+1spm 2017	chess.com INT	2017.05.25	1.17
HkCSbvew	Dortmund SuperGM	Dortmund	2007.06.24	2
pLU5y3IV	42nd Olympiad 2016	Baku AZE	2016.09.10	8.4
Tmc5QtvU	Dos Hermanas	Dos Hermanas	1995.??.??	9
gYEP90FZ	World Championship 31th-KK1	Moscow	1984.12.17	33
1BShyeww	Moscow Tal Memorial 5th	Moscow	2010.11.10	5
RkxHy6mL	Novgorod	Novgorod	1994.??.??	2
SfnlHLRR	Amber-rapid 14th	Monte Carlo	2005.03.29	9
wOLvR2DJ	Beijing Sportaccord rap	Beijing	2012.12.14	1
ZJuWKI29	Bundesliga 9697	Germany	1997.??.??	?.2
PWlDKxnP	Los Llanos de Aridane 5th	Los Llanos de Aridane	2008.03.16	3
YFQ3jD37	EU-chT (Men) 06th	Moscow	1977.04.??	2.6
SnRBBfod	Ismailia Misr 2nd	Ismailia	2004.08.18	3
zGBBwk2h	GCT Blitz YourNextMove	Leuven BEL	2016.06.20	11.5
hOchcStp	Saint Louis Rapid 2017	Saint Louis USA	2017.08.14	2.1
E4YUyFAu	Wch Blitz 5th	Moscow	2009.11.18	40
yYCztSij	Opera Euro Rapid Prelim	chess24.com INT	2021.02.08	12.5
e5RUo8yE	Airthings Masters KO 2020	chess24.com INT	2021.01.01	2.21
TuE6O3UF	Airthings Masters KO 2020	chess24.com INT	2021.01.01	2.23
EoOcUCUI	Moscow Tal Memorial 4th	Moscow	2009.11.07	3
9iPlTfvQ	3rd Sinquefield Cup 2015	Saint Louis USA	2015.08.25	3.5
YgcImxH4	Linares 26th	Linares	2009.02.22	4
a8klEgXZ	EU-chT (Men) 16th	Heraklio	2007.11.04	7.1
o1KMDCzY	Chennai GM 2024	Chennai IND	2024.11.11	7.3
Kpp4BUOj	Budapest Spring Open 2018	Budapest HUN	2018.04.25	8.14
Jr7qtFT5	Cannes	Cannes	1999.??.??	3
dAGpAMwp	ch-PHI 2015	Manila PHI	2015.10.25	2.3
VpWi0ec3	CZE-chT 9899	Czechia	1998.??.??	3
hAs4OeAb	Aimchess US Rapid Prelim	chess24.com INT	2021.08.29	7.5
DjdXlB6w	TCh-FRA Top 16 Haute 2022	Chartres FRA	2022.06.18	3.3
pAL7T7Zi	Chess.com RCC Wk23 Swiss	chess.com INT	2022.07.30	5
Pdm5859U	Azmaiparashvili-Belov m	playchess.com INT	2007.02.05	?
tiTqGq2M	WCh 2014	Sochi RUS	2014.11.08	1
pott3lUO	Vugar Gashimov Mem 2015	Shamkir AZE	2015.04.20	4.5
4sXxFmkF	Croatia GCT 2019	Zagreb CRO	2019.06.30	5.1
aVSvRigO	Nations Cup Online Prelim	Chess.com INT	2020.05.08	7.1
CI05ELlE	chess.com Junior Speed	chess.com INT	2019.08.10	4.14
JNbakU2W	Zurich Chess Challenge 2014	Zurich SUI	2014.01.30	1.3
lCsrXBWT	Nanjing Pearl Spring 2nd	Nanjing	2009.10.04	6
QzEBRv1J	Beijing Sportaccord blindfold	Beijing	2012.12.19	6
Upk3GJ5c	Gashimov Mem TB 2016	Shamkir AZE	2016.06.04	1
TVR1bMXb	Biel GM 45th	Biel	2012.07.28	6
9QMiPm4O	6th London Classic 2014	London ENG	2014.12.13	4.2
FrpQ7fOy	Vugar Gashimov Mem 2016	Shamkir AZE	2016.05.27	2.3
LAi7KuxA	Chess Classics Giants	Frankfurt	1998.06.17	1
BkVYMJEb	Vugar Gashimov Mem 2015	Shamkir AZE	2015.04.17	1.4
FlG4NkxH	Airthings Masters Prelim	chess24.com INT	2020.12.27	8.6
7AdZIf0v	SuperUnited Rapid 2022	Zagreb CRO	2022.07.21	5.2
tB7i5MNe	6th Norway Chess 2018	Stavanger NOR	2018.05.28	1.2
GoXLtSCE	82nd Tata Steel GpA	Wijk aan Zee NED	2020.01.11	1.4
EFKCuNGW	Rio Hondo	Rio Hondo	1987.??.??	3
JnvzmHmg	American Continental 3rd	Buenos Aires	2005.08.08	3
BErFNCsx	Karvina op	Karvina	1989.??.??	10
mkiIKM7D	FRA Cup	France	1990.??.??	2
AsJHFTop	chess.com QF Blitz 5m+2spm 2016	chess.com INT	2016.05.10	7
ogt3lBDk	World Blitz 2018	St Petersburg RUS	2018.12.30	19.4
0fUB6cQX	ESP-chT CECLUB Honor	Leon	2012.11.07	3.3
4Qi67G7I	FIDE World Cup	Khanty-Mansiysk	2011.08.30	1.5
RQsGazrr	Beijing FIDE GP	Beijing	2013.07.11	7
ZR6p0N1Y	Biel Breisacher Memorial	Biel	2013.07.24	3
oCGLyHPw	Foros Aerosvit 3rd	Foros	2008.06.17	9
ZjmspV64	Legends of Chess Prelim	chess24.com INT	2020.07.26	6.1
zHK3aKyy	Lindores Abbey Prelim	chess24.com INT	2020.05.20	8
eUM2m6XD	Carlsen Inv Prelim	chess24.com INT	2020.04.26	5.3
m4qteZIS	Morelia/Linares 25th	Morelia/Linares	2008.03.03	11
KDcPSTDO	American Cup Champ	Saint Louis USA	2024.03.14	2.1
iY87vd1y	Moscow Tal Memorial 4th	Moscow	2009.11.06	2
mC8X5Dra	RUS-CHN Summit 8th	St Petersburg	2012.07.05	4
A32u5eFs	St.Petersburg Rapid 2017	St Petersburg RUS	2017.08.26	4.2
AiVaaD99	Rochade-20/TT	ICCF	2009.11.01	?.1
5RjlNpIA	ARG/cup04/sf  17 (ARG)	ICCF	2022.11.30	?
HbGMI9Xm	FIDE World Cup	Khanty-Mansiysk	2011.09.18	7.3
geIvId33	Corus	Wijk aan Zee	2009.01.31	12
9i6UIl7v	Beijing FIDE GP	Beijing	2013.07.10	6
tCV97pYe	Novgorod	Novgorod	1994.??.??	2
Z5vGSjop	6th Norway Blitz 2018	Stavanger NOR	2018.05.27	2.1
VWXWRyTB	Tal Memorial 8th	Moscow	2013.06.23	9
VCl6Bwia	World Rapid 2023	Samarkand UZB	2023.12.28	13.6
78H8Jkts	11th World Teams 2017	Khanty-Mansiysk RUS	2017.06.18	2.2
fg2OQqb7	RUS-chT 13th	Sochi	2006.04.30	11
8C3zAnrE	7th Grand Slam Masters	Bilbao ESP	2014.09.15	2.2
nenZFtZn	GCT Blitz YourNextMove	Leuven BEL	2018.06.15	3.4
RuDZOrMU	Paris Immopar rapid	Paris	1991.??.??	3
FNw9OKDM	FIDE World Blitz 2014	Dubai UAE	2014.06.20	20.7
Bs6aJH21	Wch Blitz 3rd	Moscow	2007.11.21	6
R1asnWDl	52nd Biel GM Blitz 2019	Biel SUI	2019.07.27	9.4
iIBSwqLL	chess.com QF Blitz 1m+1spm 2016	chess.com INT	2016.05.04	24
iYtF8trC	Magnus Carlsen Inv Prelim	chess24.com INT	2021.03.14	9.7
auLJeOd2	FIDE World Blitz 2014	Dubai UAE	2014.06.19	9.9
5ZaiboaU	GRENKE Chess Classic 2018	Karlsruhe/Baden Baden GER	2018.03.31	1.1
MeyXsFKE	6th Norway Chess 2018	Stavanger NOR	2018.05.29	2.3
fUcTR0fk	Paris FIDE GP	Elancourt	2013.09.25	4
RX7gmxPB	Clutch Chess: Champions	Saint Louis USA	2025.10.27	2.1
B83JHNXv	SpeedChess Final 2024	Paris FRA	2024.09.06	1.1
hOCEaUHi	Amber-blindfold 13th	Monte Carlo	2004.03.28	8
a8t5maMO	EU-Cup 24th	Kallithea	2008.10.21	5
EQoJYTnZ	FIDE World Rapid 2014	Dubai UAE	2014.06.16	5.4
gZQ0zhOg	FIDE World Blitz 2014	Dubai UAE	2014.06.20	14.1
kFoTLcHH	FIDE Candidates	London	2013.03.17	3
GOS3i92V	Amber-blindfold 20th	Monte Carlo	2011.03.19	7
2sY9mm7h	Zug FIDE GP	Zug	2013.04.26	8
t49CQtZq	FIDE Candidates	London	2013.03.25	9
qD36ycVL	Linares 08th	Linares	1990.??.??	10
hX5xTItC	Biel GM 45th	Biel	2012.07.26	4
f3ORgslE	15th LCC Super Rapid 2025	London ENG	2025.12.07	6.3
vpoZ4Nyv	Amber-blindfold 02nd	Monte Carlo	1993.04.01	6
uCCTc5S3	RUS Cup final	Magnitogorsk	2011.11.16	2.2
qJpniVkp	Yerevan	Yerevan	1996.??.??	4
in8QFm0V	Moscow Tal Memorial 6th	Moscow	2011.11.24	8
